city_fips,city_name,st,cty_fips,rucc,cz,pop_2010
4248376,Mechanicsburg,Pennsylvania,42041,2,251,8981
4248480,Media,Pennsylvania,42045,1,316,5327
4248696,Mercer,Pennsylvania,42085,2,296,2002
4248704,Mercersburg,Pennsylvania,42055,3,418,1561
4248912,Meyersdale,Pennsylvania,42111,4,420,2184
4248960,Middleburg,Pennsylvania,42109,7,113,1309
4249184,Midland,Pennsylvania,42007,1,203,2635
4249288,Mifflinburg,Pennsylvania,42119,4,113,3540
4249304,Mifflintown,Pennsylvania,42067,6,565,936
4249760,Mill Hall,Pennsylvania,42035,4,358,1613
4249680,Millersburg,Pennsylvania,42043,2,251,2557
4249728,Millersville,Pennsylvania,42071,2,251,8168
4249920,Millvale,Pennsylvania,42003,1,203,3744
4250016,Milton,Pennsylvania,42097,4,113,7042
4250088,Minersville,Pennsylvania,42107,4,231,4397
4250272,Mohnton,Pennsylvania,42011,2,231,3043
4250320,Monaca,Pennsylvania,42007,1,203,5737
4250344,Monessen,Pennsylvania,42129,1,203,7720
4250408,Monongahela,Pennsylvania,42125,1,203,4300
4250632,Montgomery,Pennsylvania,42081,3,358,1579
4250720,Montoursville,Pennsylvania,42081,3,358,4615
4250736,Montrose,Pennsylvania,42115,6,169,1617
4250880,Moosic,Pennsylvania,42069,2,309,5719
4251176,Morton,Pennsylvania,42045,1,316,2669
4251208,Moscow,Pennsylvania,42069,2,309,2026
4251496,Mount Carmel,Pennsylvania,42097,4,113,5893
4251592,Mount Holly Springs,Pennsylvania,42041,2,251,2030
4251632,Mount Jewett,Pennsylvania,42083,7,524,919
4251656,Mount Joy,Pennsylvania,42071,2,251,7410
4251744,Mount Oliver,Pennsylvania,42003,1,203,3403
4251760,Mount Penn,Pennsylvania,42011,2,231,3106
4251880,Mount Pleasant,Pennsylvania,42129,1,203,4454
4251984,Mount Union,Pennsylvania,42087,4,565,2447
4252264,Muncy,Pennsylvania,42081,3,358,2477
4252320,Munhall,Pennsylvania,42003,1,203,11406
4252488,Myerstown,Pennsylvania,42075,3,251,3062
4252584,Nanticoke,Pennsylvania,42079,2,309,10465
4252664,Narberth,Pennsylvania,42091,1,316,4282
4252808,Nazareth,Pennsylvania,42095,2,231,5746
4252984,Nescopeck,Pennsylvania,42079,2,309,1583
4253248,New Bethlehem,Pennsylvania,42005,1,203,989
4253288,New Brighton,Pennsylvania,42007,1,203,6025
4253368,New Castle,Pennsylvania,42073,4,296,23273
4253464,New Cumberland,Pennsylvania,42041,2,251,7277
4253496,New Eagle,Pennsylvania,42125,1,203,2184
4253568,New Freedom,Pennsylvania,42133,2,251,4464
4253696,New Holland,Pennsylvania,42071,2,251,5378
4253712,New Hope,Pennsylvania,42017,1,316,2528
4253736,New Kensington,Pennsylvania,42129,1,203,13116
4253920,New Oxford,Pennsylvania,42001,3,251,1783
4253944,New Philadelphia,Pennsylvania,42107,4,231,1085
4254352,New Wilmington,Pennsylvania,42073,4,296,2466
4253968,Newport,Pennsylvania,42099,2,251,1574
4254320,Newville,Pennsylvania,42041,2,251,1326
4254656,Norristown,Pennsylvania,42091,1,316,34324
4254728,North Apollo,Pennsylvania,42129,1,203,1297
4254776,North Belle Vernon,Pennsylvania,42129,1,203,1971
4254816,North Braddock,Pennsylvania,42003,1,203,4857
4254872,North Catasauqua,Pennsylvania,42095,2,231,2849
